"filename", "language", "JSON with Comments", "JavaScript", "JSON", "Markdown", "XML", "SCSS", "YAML", "CSS", "comment", "blank", "total"
"/Users/yangyueHelen/Desktop/FreezoneX/WMS-Frontend-Carbon/src/app/providers.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"/Users/yangyueHelen/Desktop/FreezoneX/WMS-Frontend-Carbon/src/app/warehouse/material/create/page.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 0, 0, 3, 30
"/Users/yangyueHelen/Desktop/FreezoneX/WMS-Frontend-Carbon/src/app/warehouse/material/page.js", "JavaScript", 0, 141, 0, 0, 0, 0, 0, 0, 0, 5, 146
"/Users/yangyueHelen/Desktop/FreezoneX/WMS-Frontend-Carbon/src/app/warehouse/material/rfid/create/page.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 0, 0, 3, 31
"/Users/yangyueHelen/Desktop/FreezoneX/WMS-Frontend-Carbon/src/app/warehouse/material/rfid/page.js", "JavaScript", 0, 50, 0, 0, 0, 0, 0, 0, 0, 5, 55
"/Users/yangyueHelen/Desktop/FreezoneX/WMS-Frontend-Carbon/src/app/warehouse/page.js", "JavaScript", 0, 153, 0, 0, 0, 0, 0, 0, 0, 7, 160
"/Users/yangyueHelen/Desktop/FreezoneX/WMS-Frontend-Carbon/src/components/Header/Header.js", "JavaScript", 0, 129, 0, 0, 0, 0, 0, 0, 0, 4, 133
"/Users/yangyueHelen/Desktop/FreezoneX/WMS-Frontend-Carbon/src/components/Header/_header.scss", "SCSS", 0, 0, 0, 0, 0, 7, 0, 0, 3, 3, 13
"/Users/yangyueHelen/Desktop/FreezoneX/WMS-Frontend-Carbon/src/components/InboundCreateForm/InboundCreateForm.js", "JavaScript", 0, 395, 0, 0, 0, 0, 0, 0, 0, 16, 411
"/Users/yangyueHelen/Desktop/FreezoneX/WMS-Frontend-Carbon/src/components/Login/Login.js", "JavaScript", 0, 55, 0, 0, 0, 0, 0, 0, 2, 5, 62
"/Users/yangyueHelen/Desktop/FreezoneX/WMS-Frontend-Carbon/src/components/MaterialCreateForm/MaterialCreateForm.js", "JavaScript", 0, 127, 0, 0, 0, 0, 0, 0, 0, 7, 134
"/Users/yangyueHelen/Desktop/FreezoneX/WMS-Frontend-Carbon/src/components/MaterialCreateForm/RFIDCreateForm.js", "JavaScript", 0, 152, 0, 0, 0, 0, 0, 0, 0, 6, 158
"/Users/yangyueHelen/Desktop/FreezoneX/WMS-Frontend-Carbon/src/components/MaterialCreateForm/_materialcreateform.scss", "SCSS", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"/Users/yangyueHelen/Desktop/FreezoneX/WMS-Frontend-Carbon/src/components/Modal/CreateWarehouseModal.js", "JavaScript", 0, 196, 0, 0, 0, 0, 0, 0, 0, 10, 206
"/Users/yangyueHelen/Desktop/FreezoneX/WMS-Frontend-Carbon/src/components/Modal/EditMaterialModal.js", "JavaScript", 0, 120, 0, 0, 0, 0, 0, 0, 0, 8, 128
"/Users/yangyueHelen/Desktop/FreezoneX/WMS-Frontend-Carbon/src/components/Modal/EditWarehouseModal.js", "JavaScript", 0, 168, 0, 0, 0, 0, 0, 0, 0, 8, 176
"/Users/yangyueHelen/Desktop/FreezoneX/WMS-Frontend-Carbon/src/components/Modal/ProductModal.js", "JavaScript", 0, 102, 0, 0, 0, 0, 0, 0, 0, 5, 107
"/Users/yangyueHelen/Desktop/FreezoneX/WMS-Frontend-Carbon/src/components/Modal/ShelfLocationModal.js", "JavaScript", 0, 274, 0, 0, 0, 0, 0, 0, 0, 7, 281
"/Users/yangyueHelen/Desktop/FreezoneX/WMS-Frontend-Carbon/src/components/Modal/StocktakingResultModal.js", "JavaScript", 0, 122, 0, 0, 0, 0, 0, 0, 0, 5, 127
"/Users/yangyueHelen/Desktop/FreezoneX/WMS-Frontend-Carbon/src/components/Modal/StorageLocationModal.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 3, 27
"/Users/yangyueHelen/Desktop/FreezoneX/WMS-Frontend-Carbon/src/components/OutboundCreateForm/OutboundCreateForm.js", "JavaScript", 0, 398, 0, 0, 0, 0, 0, 0, 0, 16, 414
"/Users/yangyueHelen/Desktop/FreezoneX/WMS-Frontend-Carbon/src/components/StocktakingCreateForm/StocktakingCreateForm.js", "JavaScript", 0, 387, 0, 0, 0, 0, 0, 0, 10, 16, 413
"/Users/yangyueHelen/Desktop/FreezoneX/WMS-Frontend-Carbon/src/components/Table/DataTable.js", "JavaScript", 0, 79, 0, 0, 0, 0, 0, 0, 0, 3, 82
"/Users/yangyueHelen/Desktop/FreezoneX/WMS-Frontend-Carbon/src/components/Table/InboundTable.js", "JavaScript", 0, 145, 0, 0, 0, 0, 0, 0, 0, 5, 150
"/Users/yangyueHelen/Desktop/FreezoneX/WMS-Frontend-Carbon/src/components/Table/LabelingTable.js", "JavaScript", 0, 61, 0, 0, 0, 0, 0, 0, 0, 4, 65
"/Users/yangyueHelen/Desktop/FreezoneX/WMS-Frontend-Carbon/src/components/Table/MaterialSelectionTable.js", "JavaScript", 0, 86, 0, 0, 0, 0, 0, 0, 0, 3, 89
"/Users/yangyueHelen/Desktop/FreezoneX/WMS-Frontend-Carbon/src/components/Table/MaterialTable.js", "JavaScript", 0, 117, 0, 0, 0, 0, 0, 0, 0, 4, 121
"/Users/yangyueHelen/Desktop/FreezoneX/WMS-Frontend-Carbon/src/components/Table/OutboundTable.js", "JavaScript", 0, 145, 0, 0, 0, 0, 0, 0, 0, 5, 150
"/Users/yangyueHelen/Desktop/FreezoneX/WMS-Frontend-Carbon/src/components/Table/StocktakingTable.js", "JavaScript", 0, 167, 0, 0, 0, 0, 0, 0, 0, 5, 172
"/Users/yangyueHelen/Desktop/FreezoneX/WMS-Frontend-Carbon/src/components/Table/WarehouseTable.js", "JavaScript", 0, 128, 0, 0, 0, 0, 0, 0, 0, 8, 136
"/Users/yangyueHelen/Desktop/FreezoneX/WMS-Frontend-Carbon/src/components/Table/_table.scss", "SCSS", 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"/Users/yangyueHelen/Desktop/FreezoneX/WMS-Frontend-Carbon/src/utils/http.js", "JavaScript", 0, 183, 0, 0, 0, 0, 0, 0, 33, 9, 225
"/Users/yangyueHelen/Desktop/FreezoneX/WMS-Frontend-Carbon/tailwind.config.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 2, 2, 19
"Total", "-", 10, 5043, 9200, 156, 2, 35, 226, 195, 136, 422, 15425
