warehouse_name,date,storage,next_day_storage
Baking Soda,2024-05-21,221,220.0
Baking Soda,2024-05-22,220,228.0
Baking Soda,2024-05-23,228,211.0
Baking Soda,2024-05-24,211,197.0
Baking Soda,2024-05-25,197,210.0
Baking Soda,2024-05-26,210,215.0
Baking Soda,2024-05-27,215,214.0
Baking Soda,2024-05-28,214,215.0
Baking Soda,2024-05-29,215,205.0
Baking Soda,2024-05-30,205,194.0
Baking Soda,2024-05-31,194,195.0
Baking Soda,2024-06-01,195,189.0
Baking Soda,2024-06-02,189,190.0
Baking Soda,2024-06-03,190,202.0
Baking Soda,2024-06-04,202,197.0
Baking Soda,2024-06-05,197,
Bath Towels,2024-02-05,17,18.0
Bath Towels,2024-02-06,18,18.0
Bath Towels,2024-02-07,18,17.0
Bath Towels,2024-02-08,17,16.0
Bath Towels,2024-02-09,16,16.0
Bath Towels,2024-02-10,16,17.0
Bath Towels,2024-02-11,17,18.0
Bath Towels,2024-02-12,18,21.0
Bath Towels,2024-02-13,21,18.0
Bath Towels,2024-02-14,18,18.0
Bath Towels,2024-02-15,18,16.0
Bath Towels,2024-02-16,16,15.0
Bath Towels,2024-02-17,15,18.0
Bath Towels,2024-02-18,18,16.0
Bath Towels,2024-02-19,16,23.0
Bath Towels,2024-02-20,23,19.0
Bath Towels,2024-02-21,19,19.0
Bath Towels,2024-02-22,19,19.0
Bath Towels,2024-02-23,19,19.0
Bath Towels,2024-02-24,19,20.0
Bath Towels,2024-02-25,20,19.0
Bath Towels,2024-02-26,19,19.0
Bath Towels,2024-02-27,19,20.0
Bath Towels,2024-02-28,20,22.0
Bath Towels,2024-02-29,22,22.0
Bath Towels,2024-03-01,22,20.0
Bath Towels,2024-03-02,20,21.0
Bath Towels,2024-03-03,21,19.0
Bath Towels,2024-03-04,19,19.0
Bath Towels,2024-03-05,19,20.0
Bath Towels,2024-03-06,20,21.0
Bath Towels,2024-03-07,21,19.0
Bath Towels,2024-03-08,19,18.0
Bath Towels,2024-03-09,18,19.0
Bath Towels,2024-03-10,19,23.0
Bath Towels,2024-03-11,23,22.0
Bath Towels,2024-03-12,22,19.0
Bath Towels,2024-03-13,19,20.0
Bath Towels,2024-03-14,20,18.0
Bath Towels,2024-03-15,18,18.0
Bath Towels,2024-03-16,18,19.0
Bath Towels,2024-03-17,19,20.0
Bath Towels,2024-03-18,20,19.0
Bath Towels,2024-03-19,19,20.0
Bath Towels,2024-03-20,20,19.0
Bath Towels,2024-03-21,19,18.0
Bath Towels,2024-03-22,18,19.0
Bath Towels,2024-03-23,19,20.0
Bath Towels,2024-03-24,20,2.0
Bath Towels,2024-03-25,2,31.0
Bath Towels,2024-03-26,31,24.0
Bath Towels,2024-03-27,24,19.0
Bath Towels,2024-03-28,19,18.0
Bath Towels,2024-03-29,18,18.0
Bath Towels,2024-03-30,18,19.0
Bath Towels,2024-03-31,19,19.0
Bath Towels,2024-04-01,19,17.0
Bath Towels,2024-04-02,17,16.0
Bath Towels,2024-04-03,16,15.0
Bath Towels,2024-04-04,15,16.0
Bath Towels,2024-04-05,16,16.0
Bath Towels,2024-04-06,16,15.0
Bath Towels,2024-04-07,15,16.0
Bath Towels,2024-04-08,16,17.0
Bath Towels,2024-04-09,17,18.0
Bath Towels,2024-04-10,18,19.0
Bath Towels,2024-04-11,19,22.0
Bath Towels,2024-04-12,22,22.0
Bath Towels,2024-04-13,22,21.0
Bath Towels,2024-04-14,21,20.0
Bath Towels,2024-04-15,20,20.0
Bath Towels,2024-04-16,20,19.0
Bath Towels,2024-04-17,19,20.0
Bath Towels,2024-04-18,20,19.0
Bath Towels,2024-04-19,19,17.0
Bath Towels,2024-04-20,17,24.0
Bath Towels,2024-04-21,24,21.0
Bath Towels,2024-04-22,21,20.0
Bath Towels,2024-04-23,20,19.0
Bath Towels,2024-04-24,19,20.0
Bath Towels,2024-04-25,20,18.0
Bath Towels,2024-04-26,18,16.0
Bath Towels,2024-04-27,16,18.0
Bath Towels,2024-04-28,18,62.0
Bath Towels,2024-04-29,62,38.0
Bath Towels,2024-04-30,38,34.0
Bath Towels,2024-05-01,34,30.0
Bath Towels,2024-05-02,30,31.0
